------------------------------------------------------------------------------------------
-----------------------------Welcome to the ProcessInfo automation script-----------------------------------
------------------------------------------------------------------------------------------

{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05859375}
{'name': 'ipf_helper.exe', 'pid': 9972, 'username': 'BHAVESH\\ahire', 'vms': 2.1171875}
{'name': 'svchost.exe', 'pid': 10120, 'username': None, 'vms': 1.6015625}
{'name': 'ETDCtrl.exe', 'pid': 10140, 'username': 'BHAVESH\\ahire', 'vms': 7.20703125}
{'name': 'Code.exe', 'pid': 10184, 'username': 'BHAVESH\\ahire', 'vms': 149.38671875}
{'name': 'svchost.exe', 'pid': 10340, 'username': 'BHAVESH\\ahire', 'vms': 2.1953125}
{'name': 'svchost.exe', 'pid': 10396, 'username': 'BHAVESH\\ahire', 'vms': 8.01171875}
{'name': 'taskhostw.exe', 'pid': 10472, 'username': 'BHAVESH\\ahire', 'vms': 9.31640625}
{'name': 'OverlayHelper.exe', 'pid': 10484, 'username': 'BHAVESH\\ahire', 'vms': 32.78125}
{'name': 'SystemOptimizer.exe', 'pid': 10528, 'username': 'BHAVESH\\ahire', 'vms': 41.59765625}
{'name': 'svchost.exe', 'pid': 10604, 'username': None, 'vms': 4.02734375}
{'name': 'svchost.exe', 'pid': 10648, 'username': None, 'vms': 2.45703125}
{'name': 'OmenInstallMonitor.exe', 'pid': 10756, 'username': 'BHAVESH\\ahire', 'vms': 31.140625}
{'name': 'TextInputHost.exe', 'pid': 11108, 'username': 'BHAVESH\\ahire', 'vms': 46.078125}
{'name': 'svchost.exe', 'pid': 11224, 'username': None, 'vms': 6.04296875}
{'name': 'explorer.exe', 'pid': 11284, 'username': 'BHAVESH\\ahire', 'vms': 318.734375}
{'name': 'svchost.exe', 'pid': 11324, 'username': None, 'vms': 7.05078125}
{'name': 'ShellHost.exe', 'pid': 11432, 'username': 'BHAVESH\\ahire', 'vms': 33.1171875}
{'name': 'svchost.exe', 'pid': 11492, 'username': 'BHAVESH\\ahire', 'vms': 1.82421875}
{'name': 'svchost.exe', 'pid': 11576, 'username': None, 'vms': 1.06640625}
{'name': 'SECOCL64.exe', 'pid': 11616, 'username': 'BHAVESH\\ahire', 'vms': 2.890625}
{'name': 'conhost.exe', 'pid': 11648, 'username': 'BHAVESH\\ahire', 'vms': 1.23046875}
{'name': 'Code.exe', 'pid': 11672, 'username': 'BHAVESH\\ahire', 'vms': 118.89453125}
{'name': 'CrossDeviceResume.exe', 'pid': 11796, 'username': 'BHAVESH\\ahire', 'vms': 35.5625}
{'name': 'svchost.exe', 'pid': 12004, 'username': None, 'vms': 9.13671875}
{'name': 'conhost.exe', 'pid': 12072, 'username': 'BHAVESH\\ahire', 'vms': 1.515625}
{'name': 'Code.exe', 'pid': 12144, 'username': 'BHAVESH\\ahire', 'vms': 10.81640625}
{'name': 'RtkAudUService64.exe', 'pid': 12444, 'username': 'BHAVESH\\ahire', 'vms': 26.18359375}
{'name': 'FileCoAuth.exe', 'pid': 12508, 'username': 'BHAVESH\\ahire', 'vms': 6.0390625}
{'name': 'UserOOBEBroker.exe', 'pid': 12540, 'username': 'BHAVESH\\ahire', 'vms': 1.953125}
{'name': 'CrossDeviceService.exe', 'pid': 12556, 'username': 'BHAVESH\\ahire', 'vms': 26.1328125}
{'name': 'svchost.exe', 'pid': 12560, 'username': 'BHAVESH\\ahire', 'vms': 8.55859375}
{'name': 'SearchIndexer.exe', 'pid': 12848, 'username': None, 'vms': 32.734375}
{'name': 'Widgets.exe', 'pid': 12884, 'username': 'BHAVESH\\ahire', 'vms': 9.72265625}
{'name': 'svchost.exe', 'pid': 12964, 'username': None, 'vms': 3.87890625}
{'name': 'msedgewebview2.exe', 'pid': 13032, 'username': 'BHAVESH\\ahire', 'vms': 78.0859375}
{'name': 'msedge.exe', 'pid': 13056, 'username': 'BHAVESH\\ahire', 'vms': 2.33984375}
{'name': 'SearchHost.exe', 'pid': 13180, 'username': 'BHAVESH\\ahire', 'vms': 64.96875}
{'name': 'StartMenuExperienceHost.exe', 'pid': 13204, 'username': 'BHAVESH\\ahire', 'vms': 84.453125}
