------------------------------------------------------------------------------------------
-----------------------------Welcome to the ProcessInfo automation script-----------------------------------
------------------------------------------------------------------------------------------

{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05859375}
{'pid': 5696, 'name': 'ETDService.exe', 'username': None, 'vms': 1.5078125}
{'pid': 5704, 'name': 'HPCommRecovery.exe', 'username': None, 'vms': 23.22265625}
{'pid': 5712, 'name': 'jhi_service.exe', 'username': None, 'vms': 1.38671875}
{'pid': 5720, 'name': 'HPPrintScanDoctorService.exe', 'username': None, 'vms': 1.921875}
{'pid': 5732, 'name': 'ipfsvc.exe', 'username': None, 'vms': 1.57421875}
{'pid': 5752, 'name': 'servicehost.exe', 'username': None, 'vms': 23.734375}
{'pid': 5764, 'name': 'svchost.exe', 'username': None, 'vms': 28.64453125}
{'pid': 5800, 'name': 'OfficeClickToRun.exe', 'username': None, 'vms': 31.453125}
{'pid': 5808, 'name': 'mc-fw-host.exe', 'username': None, 'vms': 254.76171875}
{'pid': 5828, 'name': 'MpDefenderCoreService.exe', 'username': None, 'vms': 11.73828125}
{'pid': 5848, 'name': 'RtkAudUService64.exe', 'username': None, 'vms': 29.6953125}
{'pid': 5856, 'name': 'RtkBtManServ.exe', 'username': None, 'vms': 2.1796875}
{'pid': 5924, 'name': 'SECOMN64.exe', 'username': None, 'vms': 7.75}
{'pid': 5936, 'name': 'msedgewebview2.exe', 'username': 'BHAVESH\\ahire', 'vms': 8.37890625}
{'pid': 5968, 'name': 'svchost.exe', 'username': None, 'vms': 1.34375}
{'pid': 5992, 'name': 'svchost.exe', 'username': None, 'vms': 1.6796875}
{'pid': 6108, 'name': 'mc-neo-host.exe', 'username': None, 'vms': 19.33984375}
{'pid': 6116, 'name': 'svchost.exe', 'username': None, 'vms': 12.64453125}
{'pid': 6140, 'name': 'MsMpEng.exe', 'username': None, 'vms': 247.875}
{'pid': 6200, 'name': 'svchost.exe', 'username': None, 'vms': 4.71484375}
{'pid': 6208, 'name': 'svchost.exe', 'username': None, 'vms': 1.73828125}
{'pid': 6216, 'name': 'WMIRegistrationService.exe', 'username': None, 'vms': 2.95703125}
{'pid': 6244, 'name': 'svchost.exe', 'username': None, 'vms': 2.40625}
{'pid': 6280, 'name': 'XtuService.exe', 'username': None, 'vms': 59.98828125}
{'pid': 6804, 'name': 'ApplicationFrameHost.exe', 'username': 'BHAVESH\\ahire', 'vms': 53.9296875}
{'pid': 7256, 'name': 'svchost.exe', 'username': None, 'vms': 2.66015625}
{'pid': 7336, 'name': 'ms-teams.exe', 'username': 'BHAVESH\\ahire', 'vms': 70.734375}
{'pid': 7720, 'name': 'NgcIso.exe', 'username': None, 'vms': 1.2421875}
{'pid': 7732, 'name': 'svchost.exe', 'username': None, 'vms': 1.4765625}
{'pid': 7896, 'name': 'uihost.exe', 'username': 'BHAVESH\\ahire', 'vms': 18.09765625}
{'pid': 7928, 'name': 'RuntimeBroker.exe', 'username': 'BHAVESH\\ahire', 'vms': 2.984375}
{'pid': 7964, 'name': 'WindowsTerminal.exe', 'username': 'BHAVESH\\ahire', 'vms': 64.08203125}
{'pid': 8260, 'name': 'unsecapp.exe', 'username': None, 'vms': 1.796875}
{'pid': 8744, 'name': 'svchost.exe', 'username': None, 'vms': 1.7421875}
{'pid': 8840, 'name': 'Code.exe', 'username': 'BHAVESH\\ahire', 'vms': 14.25390625}
{'pid': 8964, 'name': 'SecurityHealthSystray.exe', 'username': 'BHAVESH\\ahire', 'vms': 2.0078125}
