------------------------------------------------------------------------------------------
-----------------------------Welcome to the ProcessInfo automation script-----------------------------------
------------------------------------------------------------------------------------------

{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0, 'vms': 0.05859375}
{'name': 'svchost.exe', 'username': None, 'pid': 5296, 'vms': 8.79296875}
{'name': 'svchost.exe', 'username': None, 'pid': 5324, 'vms': 3.80078125}
{'name': 'spoolsv.exe', 'username': None, 'pid': 5352, 'vms': 5.7890625}
{'name': 'svchost.exe', 'username': None, 'pid': 5388, 'vms': 15.4296875}
{'name': 'svchost.exe', 'username': None, 'pid': 5452, 'vms': 1.77734375}
{'name': 'svchost.exe', 'username': None, 'pid': 5532, 'vms': 6.38671875}
{'name': 'cmd.exe', 'username': 'BHAVESH\\ahire', 'pid': 5632, 'vms': 1.89453125}
{'name': 'ipf_uf.exe', 'username': None, 'pid': 5636, 'vms': 2.140625}
{'name': 'armsvc.exe', 'username': None, 'pid': 5644, 'vms': 1.76171875}
{'name': 'svchost.exe', 'username': None, 'pid': 5652, 'vms': 2.671875}
{'name': 'svchost.exe', 'username': None, 'pid': 5660, 'vms': 30.25390625}
{'name': 'svchost.exe', 'username': None, 'pid': 5668, 'vms': 3.04296875}
{'name': 'IntelAudioService.exe', 'username': None, 'pid': 5680, 'vms': 38.65234375}
{'name': 'OneApp.IGCC.WinService.exe', 'username': None, 'pid': 5688, 'vms': 33.15234375}
{'name': 'ETDService.exe', 'username': None, 'pid': 5696, 'vms': 1.5078125}
{'name': 'HPCommRecovery.exe', 'username': None, 'pid': 5704, 'vms': 22.83203125}
{'name': 'jhi_service.exe', 'username': None, 'pid': 5712, 'vms': 1.38671875}
{'name': 'HPPrintScanDoctorService.exe', 'username': None, 'pid': 5720, 'vms': 1.93359375}
{'name': 'ipfsvc.exe', 'username': None, 'pid': 5732, 'vms': 1.578125}
{'name': 'servicehost.exe', 'username': None, 'pid': 5752, 'vms': 24.19921875}
{'name': 'svchost.exe', 'username': None, 'pid': 5764, 'vms': 33.546875}
{'name': 'OfficeClickToRun.exe', 'username': None, 'pid': 5800, 'vms': 31.5}
{'name': 'mc-fw-host.exe', 'username': None, 'pid': 5808, 'vms': 255.11328125}
{'name': 'MpDefenderCoreService.exe', 'username': None, 'pid': 5828, 'vms': 12.84375}
{'name': 'RtkAudUService64.exe', 'username': None, 'pid': 5848, 'vms': 29.6953125}
{'name': 'RtkBtManServ.exe', 'username': None, 'pid': 5856, 'vms': 2.1796875}
{'name': 'SECOMN64.exe', 'username': None, 'pid': 5924, 'vms': 7.75}
{'name': 'msedgewebview2.exe', 'username': 'BHAVESH\\ahire', 'pid': 5936, 'vms': 8.375}
{'name': 'svchost.exe', 'username': None, 'pid': 5968, 'vms': 1.34375}
{'name': 'svchost.exe', 'username': None, 'pid': 5992, 'vms': 1.6796875}
{'name': 'msedge.exe', 'username': 'BHAVESH\\ahire', 'pid': 6096, 'vms': 54.88671875}
{'name': 'mc-neo-host.exe', 'username': None, 'pid': 6108, 'vms': 19.33984375}
{'name': 'svchost.exe', 'username': None, 'pid': 6116, 'vms': 12.70703125}
{'name': 'MsMpEng.exe', 'username': None, 'pid': 6140, 'vms': 248.12109375}
{'name': 'svchost.exe', 'username': None, 'pid': 6200, 'vms': 4.76171875}
{'name': 'svchost.exe', 'username': None, 'pid': 6208, 'vms': 1.73828125}
{'name': 'WMIRegistrationService.exe', 'username': None, 'pid': 6216, 'vms': 2.95703125}
{'name': 'svchost.exe', 'username': None, 'pid': 6244, 'vms': 2.33984375}
{'name': 'XtuService.exe', 'username': None, 'pid': 6280, 'vms': 59.98828125}
{'name': 'svchost.exe', 'username': None, 'pid': 6696, 'vms': 2.3828125}
{'name': 'ApplicationFrameHost.exe', 'username': 'BHAVESH\\ahire', 'pid': 6804, 'vms': 53.9296875}
{'name': 'svchost.exe', 'username': None, 'pid': 7256, 'vms': 2.64453125}
{'name': 'ms-teams.exe', 'username': 'BHAVESH\\ahire', 'pid': 7336, 'vms': 70.75}
{'name': 'NgcIso.exe', 'username': None, 'pid': 7720, 'vms': 1.25}
{'name': 'svchost.exe', 'username': None, 'pid': 7732, 'vms': 1.4765625}
{'name': 'uihost.exe', 'username': 'BHAVESH\\ahire', 'pid': 7896, 'vms': 19.61328125}
{'name': 'RuntimeBroker.exe', 'username': 'BHAVESH\\ahire', 'pid': 7928, 'vms': 3.3046875}
{'name': 'WindowsTerminal.exe', 'username': 'BHAVESH\\ahire', 'pid': 7964, 'vms': 64.0390625}
{'name': 'unsecapp.exe', 'username': None, 'pid': 8260, 'vms': 2.1796875}
{'name': 'svchost.exe', 'username': None, 'pid': 8744, 'vms': 1.7421875}
{'name': 'Code.exe', 'username': 'BHAVESH\\ahire', 'pid': 8840, 'vms': 14.37109375}
{'name': 'SecurityHealthSystray.exe', 'username': 'BHAVESH\\ahire', 'pid': 8964, 'vms': 2.0078125}
{'name': 'sihost.exe', 'username': 'BHAVESH\\ahire', 'pid': 9012, 'vms': 7.99609375}
{'name': 'msedgewebview2.exe', 'username': 'BHAVESH\\ahire', 'pid': 9164, 'vms': 77.40625}
{'name': 'WmiPrvSE.exe', 'username': None, 'pid': 9244, 'vms': 5.359375}
{'name': 'svchost.exe', 'username': None, 'pid': 9416, 'vms': 30.37890625}
{'name': 'msedge.exe', 'username': 'BHAVESH\\ahire', 'pid': 9460, 'vms': 2.3828125}
{'name': 'svchost.exe', 'username': None, 'pid': 9472, 'vms': 13.74609375}
{'name': 'svchost.exe', 'username': 'BHAVESH\\ahire', 'pid': 9540, 'vms': 2.44921875}
{'name': 'mc-fw-host.exe', 'username': 'BHAVESH\\ahire', 'pid': 9548, 'vms': 10.38671875}
{'name': 'AggregatorHost.exe', 'username': None, 'pid': 9740, 'vms': 5.33203125}
{'name': 'chrome.exe', 'username': 'BHAVESH\\ahire', 'pid': 9756, 'vms': 11.54296875}
{'name': 'msedge.exe', 'username': 'BHAVESH\\ahire', 'pid': 9840, 'vms': 61.1484375}
{'name': 'RtkAudUService64.exe', 'username': None, 'pid': 9860, 'vms': 25.77734375}
{'name': 'chrome.exe', 'username': 'BHAVESH\\ahire', 'pid': 9920, 'vms': 237.8671875}
{'name': 'ipf_helper.exe', 'username': 'BHAVESH\\ahire', 'pid': 9972, 'vms': 2.078125}
{'name': 'ETDCtrl.exe', 'username': 'BHAVESH\\ahire', 'pid': 10140, 'vms': 7.20703125}
{'name': 'Code.exe', 'username': 'BHAVESH\\ahire', 'pid': 10184, 'vms': 144.35546875}
{'name': 'svchost.exe', 'username': 'BHAVESH\\ahire', 'pid': 10340, 'vms': 2.140625}
{'name': 'svchost.exe', 'username': 'BHAVESH\\ahire', 'pid': 10396, 'vms': 8.265625}
{'name': 'taskhostw.exe', 'username': 'BHAVESH\\ahire', 'pid': 10472, 'vms': 9.92578125}
{'name': 'OverlayHelper.exe', 'username': 'BHAVESH\\ahire', 'pid': 10484, 'vms': 32.84375}
{'name': 'TiWorker.exe', 'username': None, 'pid': 10492, 'vms': 287.125}
{'name': 'SystemOptimizer.exe', 'username': 'BHAVESH\\ahire', 'pid': 10528, 'vms': 41.6875}
{'name': 'RuntimeBroker.exe', 'username': 'BHAVESH\\ahire', 'pid': 10600, 'vms': 2.49609375}
{'name': 'svchost.exe', 'username': None, 'pid': 10604, 'vms': 4.25390625}
{'name': 'msedge.exe', 'username': 'BHAVESH\\ahire', 'pid': 10640, 'vms': 8.25390625}
{'name': 'svchost.exe', 'username': None, 'pid': 10648, 'vms': 2.33984375}
{'name': 'OmenInstallMonitor.exe', 'username': 'BHAVESH\\ahire', 'pid': 10756, 'vms': 31.109375}
{'name': 'TextInputHost.exe', 'username': 'BHAVESH\\ahire', 'pid': 11108, 'vms': 46.00390625}
{'name': 'svchost.exe', 'username': None, 'pid': 11224, 'vms': 6.109375}
{'name': 'explorer.exe', 'username': 'BHAVESH\\ahire', 'pid': 11284, 'vms': 344.40234375}
{'name': 'svchost.exe', 'username': None, 'pid': 11324, 'vms': 7.125}
{'name': 'ShellHost.exe', 'username': 'BHAVESH\\ahire', 'pid': 11432, 'vms': 33.1171875}
{'name': 'svchost.exe', 'username': 'BHAVESH\\ahire', 'pid': 11492, 'vms': 1.82421875}
{'name': 'svchost.exe', 'username': None, 'pid': 11576, 'vms': 1.06640625}
{'name': 'SECOCL64.exe', 'username': 'BHAVESH\\ahire', 'pid': 11616, 'vms': 2.890625}
{'name': 'conhost.exe', 'username': 'BHAVESH\\ahire', 'pid': 11648, 'vms': 1.23046875}
{'name': 'Code.exe', 'username': 'BHAVESH\\ahire', 'pid': 11672, 'vms': 120.91796875}
{'name': 'CrossDeviceResume.exe', 'username': 'BHAVESH\\ahire', 'pid': 11796, 'vms': 35.55078125}
{'name': 'svchost.exe', 'username': None, 'pid': 12004, 'vms': 9.03125}
{'name': 'conhost.exe', 'username': 'BHAVESH\\ahire', 'pid': 12072, 'vms': 1.48046875}
{'name': 'Code.exe', 'username': 'BHAVESH\\ahire', 'pid': 12144, 'vms': 10.78515625}
{'name': 'TrustedInstaller.exe', 'username': None, 'pid': 12328, 'vms': 2.98046875}
{'name': 'RtkAudUService64.exe', 'username': 'BHAVESH\\ahire', 'pid': 12444, 'vms': 26.18359375}
{'name': 'FileCoAuth.exe', 'username': 'BHAVESH\\ahire', 'pid': 12508, 'vms': 6.359375}
{'name': 'UserOOBEBroker.exe', 'username': 'BHAVESH\\ahire', 'pid': 12540, 'vms': 1.953125}
{'name': 'CrossDeviceService.exe', 'username': 'BHAVESH\\ahire', 'pid': 12556, 'vms': 26.6328125}
{'name': 'svchost.exe', 'username': 'BHAVESH\\ahire', 'pid': 12560, 'vms': 8.5078125}
{'name': 'MoUsoCoreWorker.exe', 'username': None, 'pid': 12700, 'vms': 33.01171875}
{'name': 'SearchIndexer.exe', 'username': None, 'pid': 12848, 'vms': 32.9453125}
{'name': 'Widgets.exe', 'username': 'BHAVESH\\ahire', 'pid': 12884, 'vms': 10.6875}
{'name': 'svchost.exe', 'username': None, 'pid': 12964, 'vms': 3.9765625}
{'name': 'msedgewebview2.exe', 'username': 'BHAVESH\\ahire', 'pid': 13032, 'vms': 78.1171875}
{'name': 'SearchHost.exe', 'username': 'BHAVESH\\ahire', 'pid': 13180, 'vms': 65.2578125}
